input,output
"{""max_value"": 4571, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""min_value"": 1413, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY >= 1413 ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 7294, ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 7294;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""max_value"": 13727, ""min_value"": 3553, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN BETWEEN 3553 AND 13727;
"{""min_value"": 9391, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN >= 9391 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 3115, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 3115 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 5604, ""min_value"": 6547, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN BETWEEN 6547 AND 5604 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 4783, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 12340, ""min_value"": 1534, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN BETWEEN 1534 AND 12340 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""max_value"": 4766, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 4766 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 314, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 314;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 9283, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN <= 9283 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 4030, ""min_value"": 58, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN BETWEEN 58 AND 4030 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""min_value"": 6668, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN >= 6668 ORDER BY TOTAL_KMS DESC;
"{""max_value"": 4498, ""min_value"": 3792, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 3924, ""min_value"": 3832, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN BETWEEN 3832 AND 3924 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 3641, ""min_value"": 7656, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY BETWEEN 7656 AND 3641;
"{""hq_code"": ""TDL"", ""max_value"": 4059, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 4059;
"{""hq_code"": ""BSP"", ""min_value"": 4207, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN >= 4207 ORDER BY TOTAL_KMS DESC;
"{""max_value"": 7506, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 7506;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""max_value"": 4220, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""max_value"": 3994, ""min_value"": 1549, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN BETWEEN 1549 AND 3994;
"{""max_value"": 3434, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 3434;
"{""hq_code"": ""TDL"", ""max_value"": 3106, ""min_value"": 1487, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN BETWEEN 1487 AND 3106;
"{""max_value"": 3493, ""min_value"": 1345, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN BETWEEN 1345 AND 3493;
"{""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 1838, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN >= 1838;
"{""max_value"": 3482, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 5640, ""min_value"": 1268, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 9816, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 9816 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 4051, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""min_value"": 12313, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS >= 12313 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""min_value"": 1359, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""min_value"": 2948, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS >= 2948 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""max_value"": 4646, ""min_value"": 1904, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 1904 AND 4646 ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA;
"{""min_value"": 2036, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY >= 2036 ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 11544, ""min_value"": 14479, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""min_value"": 10051, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 10051 ORDER BY TOTAL_DUTY ASC;
"{""min_value"": 6338, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN >= 6338 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""max_value"": 8102, ""min_value"": 8867, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN BETWEEN 8867 AND 8102 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 14559, ""min_value"": 5254, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN BETWEEN 5254 AND 14559;
"{""hq_code"": ""TDL"", ""max_value"": 65, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 65 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""min_value"": 7742, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN >= 7742 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""max_value"": 1389, ""min_value"": 4509, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""TDL"", ""max_value"": 959, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 959 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""min_value"": 11972, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN >= 11972 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""max_value"": 3773, ""min_value"": 3673, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN BETWEEN 3673 AND 3773 ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""max_value"": 11277, ""min_value"": 5985, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""min_value"": 14372, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""max_value"": 14908, ""min_value"": 6474, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN BETWEEN 6474 AND 14908 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""max_value"": 2929, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN <= 2929 ORDER BY TOTAL_KMS DESC;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""min_value"": 4937, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 4937 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""max_value"": 3802, ""min_value"": 1318, ""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN BETWEEN 1318 AND 3802;
"{""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""max_value"": 2249, ""min_value"": 3856, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 3856 AND 2249 ORDER BY TOTAL_DUTY DESC;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""max_value"": 13408, ""min_value"": 9870, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 4505, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 4505 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""min_value"": 14657, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 1238, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN >= 1238;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""max_value"": 9706, ""min_value"": 5496, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS BETWEEN 5496 AND 9706 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 7925, ""min_value"": 14807, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN BETWEEN 14807 AND 7925 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 609, ""min_value"": 4256, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN BETWEEN 4256 AND 609;
"{""hq_code"": ""TDL"", ""max_value"": 10012, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 10012 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 3530, ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 3530;
"{""hq_code"": ""BSP"", ""max_value"": 2761, ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""hq_code"": ""BSP"", ""max_value"": 13797, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
